rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,init_mode,learn_rate,momentum,nesterov,param_neurons_layer_1,weight_decay,mean_fit_time
566,8.369623819986979,0.08971248972592913,8.308209419250488,0.11834553936590984,relu,1219,300,glorot_uniform,0.01,0.0,False,80,0.0001,0.6977600256601969
567,8.38891871770223,2.683321020040209,8.015847524007162,2.3881041630227866,relu,1219,300,glorot_uniform,0.3,0.2,False,40,0.001,0.5267879168192545
568,8.39791456858317,0.2929840257282475,8.376239458719889,0.0923542713308097,relu,128,300,glorot_uniform,0.001,0.4,False,40,0.01,1.3701692422231038
569,8.399093945821127,0.07510679362490048,8.339105923970541,0.15392224404458793,relu,1219,300,glorot_uniform,0.01,0.0,False,120,0.0001,0.6781919002532959
570,8.447648048400879,0.09193789115941114,8.355176289876303,0.15974809008928278,relu,128,300,glorot_uniform,0.001,0.4,False,80,0.01,1.4406328996022542
571,8.460763136545816,2.0139478109184275,8.506027698516846,2.253670736627205,relu,256,300,glorot_uniform,0.3,0.0,False,40,0.0001,0.89751664797465
572,8.555507024129232,2.3249021706277366,8.57411781946818,2.5616853984894474,relu,1219,300,glorot_uniform,0.3,0.2,False,120,0.0001,0.679473876953125
573,8.576137860616049,0.5111278009341688,8.560705502827963,0.297174153237795,relu,256,300,glorot_uniform,0.1,0.0,False,120,0.1,1.0115760167439778
574,8.610604921976725,0.42609697498214544,8.966248830159506,0.3093270939680782,relu,128,300,glorot_uniform,0.3,0.9,False,80,0.0001,1.2653405666351318
575,8.611238161722818,0.1960941498303703,8.527310371398926,0.1602514300917021,relu,1219,300,glorot_uniform,0.01,0.0,False,120,0.001,0.6508744557698568
576,8.627914428710938,1.9513298252734803,8.768712043762207,2.242112400658325,relu,256,300,glorot_uniform,0.3,0.9,False,40,0.0001,0.9403896331787109
577,8.63650099436442,0.19963358884064794,8.522470156351725,0.04251799968112951,relu,1219,300,glorot_uniform,0.01,0.0,False,80,0.001,0.6400482654571533
578,8.710018475850424,0.3588863834672402,8.813133557637533,0.13954180241648304,relu,1219,300,glorot_uniform,0.1,0.0,False,40,0.1,0.5385181903839111
579,8.728451093037924,2.133219909588558,8.3075057665507,2.134298098283683,relu,128,300,glorot_uniform,0.3,0.2,False,80,0.1,1.288842757542928
580,8.747516314188639,0.27274277528647195,8.847461382548014,0.10018698634715985,relu,1219,300,glorot_uniform,0.1,0.0,False,80,0.1,0.6007901827494303
581,8.779396375020346,0.13930192791789853,8.739997227986654,0.05276463400533361,relu,1219,300,glorot_uniform,0.001,0.9,False,80,0.001,0.7242153485616049
582,8.826316515604654,0.20349255208277905,8.594242413838705,0.1518629380415366,relu,1219,300,glorot_uniform,0.1,0.0,False,120,0.1,0.5905604362487793
